web-scraper-order,web-scraper-start-url,IATA,ICAO,Airline,Call sign,Country_Region,Comments
"1733246192-100","https://en.wikipedia.org/wiki/List_of_airline_codes","","MMG","Aereo Ruta Maya","RUTA MAYA","Guatemala",""
"1733246192-101","https://en.wikipedia.org/wiki/List_of_airline_codes","","AGI","Aereo Transportes Los Angeles de America","ANGELES AMERICA","Mexico",""
"1733246192-102","https://en.wikipedia.org/wiki/List_of_airline_codes","","WWG","Aereo WWG","AERO-W","Mexico",""
"1733246192-103","https://en.wikipedia.org/wiki/List_of_airline_codes","","AED","Aernord","Aernspa","Italy","defunct"
"1733246192-104","https://en.wikipedia.org/wiki/List_of_airline_codes","","AKR","Aero Clinker","AERO CLINKER","Mexico",""
"1733246192-105","https://en.wikipedia.org/wiki/List_of_airline_codes","","RRB","Aero Club de Castellon","","Spain",""
"1733246192-106","https://en.wikipedia.org/wiki/List_of_airline_codes","9D","CND","Aero Continente Dominicana","CONDOMINICANA","Dominican Republic","defunct"
"1733246192-107","https://en.wikipedia.org/wiki/List_of_airline_codes","","ARP","Aero Corporate","IVORYCORP","Côte d'Ivoire",""
"1733246192-108","https://en.wikipedia.org/wiki/List_of_airline_codes","ML","AEK","Aero Costa Rica","ACORISA","Costa Rica","defunct"
"1733246192-109","https://en.wikipedia.org/wiki/List_of_airline_codes","","EPU","Aero Elite Acapulco","ELITACAPULCO","Mexico",""
"1733246192-110","https://en.wikipedia.org/wiki/List_of_airline_codes","","XPN","Aero Express","","Niger",""
"1733246192-111","https://en.wikipedia.org/wiki/List_of_airline_codes","","AJP","Aero Jets Corporativos","AEROJETS","Mexico",""
"1733246192-112","https://en.wikipedia.org/wiki/List_of_airline_codes","VF","TKJ","AJet","ANATOLIAN","Turkey","formerly AnadoluJet"
"1733246192-113","https://en.wikipedia.org/wiki/List_of_airline_codes","","OWN","Aero Owen","AERO OWEN","Mexico","2014[1]"
"1733246192-114","https://en.wikipedia.org/wiki/List_of_airline_codes","","GHM","Aero Service Bolivia","","Bolivia",""
"1733246192-115","https://en.wikipedia.org/wiki/List_of_airline_codes","","GLM","Aero Services Mali","GLOBAL MALI","Mali",""
"1733246192-116","https://en.wikipedia.org/wiki/List_of_airline_codes","","GUE","Aero Servicio Guerrero","AERO GUERRERO","Mexico",""
"1733246192-117","https://en.wikipedia.org/wiki/List_of_airline_codes","","ASR","Aero Sotravia","SOTRAVIA","France","2014[1]"
"1733246192-118","https://en.wikipedia.org/wiki/List_of_airline_codes","","ABA","Aero-Beta","AEROBETA","Germany",""
"1733246192-119","https://en.wikipedia.org/wiki/List_of_airline_codes","DW","UCR","Aero-Charter Ukraine","CHARTER UKRAINE","Ukraine",""
"1733246192-120","https://en.wikipedia.org/wiki/List_of_airline_codes","","EAP","Aero-Pyrenees","AERO-PYRENEES","France",""
"1733246192-121","https://en.wikipedia.org/wiki/List_of_airline_codes","","AJH","Aeroaljarafe","ALJARAFE","Spain",""
"1733246192-122","https://en.wikipedia.org/wiki/List_of_airline_codes","","AOB","Aerocaribe Coro","CARIBE CORO","Venezuela",""
"1733246192-123","https://en.wikipedia.org/wiki/List_of_airline_codes","","ACR","Aerocenter, Escuela de Formación de Pilotos Privados de Avión","AEROCENTER","Spain",""
"1733246192-124","https://en.wikipedia.org/wiki/List_of_airline_codes","","ERC","Aerocharter","","Guatemala","defunct"
"1733246192-125","https://en.wikipedia.org/wiki/List_of_airline_codes","","BSO","Aeroclub Barcelona-Sabadell","","Spain",""
"1733246192-126","https://en.wikipedia.org/wiki/List_of_airline_codes","","NVA","Aeroclub de Albacete","","Spain",""
"1733246192-127","https://en.wikipedia.org/wiki/List_of_airline_codes","","LUE","Aeroclub de Alicante","","Spain",""
"1733246192-128","https://en.wikipedia.org/wiki/List_of_airline_codes","","MLL","Aeroclub de Mallorca","MALLORCA","Spain",""
"1733246192-129","https://en.wikipedia.org/wiki/List_of_airline_codes","","AVX","Aeroclub de Vitoria","","Spain",""
"1733246192-130","https://en.wikipedia.org/wiki/List_of_airline_codes","","CTD","Aerocorporativos","AEROCORPORATIVOS","Mexico",""
"1733246192-131","https://en.wikipedia.org/wiki/List_of_airline_codes","","RRO","Aerocredo","","Russia",""
"1733246192-132","https://en.wikipedia.org/wiki/List_of_airline_codes","","DVI","Aerodavinci","AERO DAVINCI","Mexico",""
"1733246192-133","https://en.wikipedia.org/wiki/List_of_airline_codes","","FAQ","Aerofaq","","Ecuador",""
