code,name,time_zone,city,state,iso_code,country_name
TDD,Teniente Jorge Henrich Arauz Airport,America/La_Paz,Trinidad,El Beni,BO,Bolivia
TDG,Tandag,Asia/Manila,Socorro,Caraga,PH,Philippines
TDJ,Tadjoura,Africa/Djibouti,Tadjoura,Tadjourah,DJ,Djibouti
TDK,Taldy-Kurgan,Asia/Almaty,Taldykorgan,Almaty Oblysy,KZ,Kazakhstan
TDL,Tandil,America/Argentina/Buenos_Aires,Tandil,Buenos Aires,AR,Argentina
TDN,Theda Station,Australia/Perth,,,AU,Australia
TDO,Winlock,America/Los_Angeles,Winlock,Washington,US,United States
TDP,Trompeteros,America/Lima,Marigot,Saint Andrew,PE,Peru
TDR,Theodore,Australia/Brisbane,,,AU,Australia
TDS,Sasereme,Pacific/Port_Moresby,,,PG,Papua New Guinea
TDT,Tanda Tula,Africa/Johannesburg,,,ZA,South Africa
TDV,Tanandava,Indian/Antananarivo,Manja,Menabe,MG,Madagascar
TDW,Tradewind,America/Chicago,Amarillo,Texas,US,United States
TDX,Trat Airport,Asia/Bangkok,Laem Ngop,Trat,TH,Thailand
TDZ,Toledo,America/New_York,Toledo,Ohio,US,United States
TEA,Tela,America/Tegucigalpa,Tela,Atlantida,HN,Honduras
TEB,Teterboro Airport,America/New_York,Moonachie,New Jersey,US,United States
TEC,Telemaco Borba,America/Sao_Paulo,Telemaco Borba,Parana,BR,Brazil
TED,Thisted,Europe/Copenhagen,Hanstholm,North Denmark,DK,Denmark
TEE,Cheikh Larbi Tebessi Airport,Africa/Algiers,Tebessa,Tebessa,DZ,Algeria
TEF,Telfer Airport,Australia/Perth,,,AU,Australia
TEG,Tenkodogo,Africa/Ouagadougou,Tenkodogo,Centre-Est,BF,Burkina Faso
TEH,Tetlin,America/Anchorage,,,US,United States
TEI,Tezu,Asia/Kolkata,Tezu,Arunachal Pradesh,IN,India
TEK,Tatitlek,America/Anchorage,,,US,United States
TEL,Telupid,Asia/Kuching,Ranau,Sabah,MY,Malaysia
TEM,Temora,Australia/Sydney,Junee,New South Wales,AU,Australia
TEN,Tongren Airport,Asia/Shanghai,Chatian,Hunan,CN,China
TEO,Terapo,Pacific/Port_Moresby,Kerema,Gulf,PG,Papua New Guinea
TEP,Teptep,Pacific/Port_Moresby,,,PG,Papua New Guinea
TEQ,Corlu,Europe/Istanbul,Tekirdag,Tekirdag,TR,Turkey
TER,Lajes Field,Atlantic/Azores,Praia da Vitoria,Azores,PT,Portugal
TES,Tessenei,Africa/Asmara,Teseney,Gash Barka,ER,Eritrea
TET,Matundo Airport,Africa/Maputo,Tete,Tete,MZ,Mozambique
TEU,Manapouri,Pacific/Auckland,Te Anau,Southland,NZ,New Zealand
TEV,Teruel Airport,Europe/Madrid,Cella,Aragon,ES,Spain
TEX,Telluride Regional,America/Denver,,,US,United States
TEY,Thingeyri,Atlantic/Reykjavik,Isafjoerdur,Westfjords,IS,Iceland
TEZ,Tezpur Airport,Asia/Kolkata,Tezpur,Assam,IN,India
TFB,Tifalmin,Pacific/Port_Moresby,,,PG,Papua New Guinea
TFF,Tefe Airport,America/Manaus,Tefe,Amazonas,BR,Brazil
TFI,Tufi,Pacific/Port_Moresby,,,PG,Papua New Guinea
TFL,Teofilo Otoni,America/Sao_Paulo,Teofilo Otoni,Minas Gerais,BR,Brazil
TFM,Telefomin,Pacific/Port_Moresby,,,PG,Papua New Guinea
TFN,Tenerife North Airport,Atlantic/Canary,La Laguna,Canary Islands,ES,Spain
TFR,Ramadan,Africa/Cairo,Al Khankah,Muhafazat al Qalyubiyah,EG,Egypt
TFS,Tenerife South Airport,Atlantic/Canary,San Isidro,Canary Islands,ES,Spain
TFT,Taftan,Asia/Karachi,Khash,Sistan and Baluchestan,PK,Pakistan
TFU,Chengdu Tianfu International Airport,Asia/Chongqing,Jiancheng,Sichuan,CN,China
TFY,Muhammad Taufiq Kiemas Airport,Asia/Jakarta,Krui,Lampung,ID,Indonesia
TGA,Tengah Air Base,Asia/Singapore,Johor Bahru,Johor,SG,Singapore
TGB,Tagbita,Asia/Manila,Susupu,Maluku Utara,PH,Philippines
TGC,Tanjung Manis Airport,Asia/Kuching,Sarikei,Sarawak,MY,Malaysia
TGD,Podgorica Airport,Europe/Podgorica,Mojanovici,,ME,Montenegro
TGE,Sharpe Field,America/Chicago,Tuskegee,Alabama,US,United States
TGG,Sultan Mahmud Airport,Asia/Kuala_Lumpur,Kuala Terengganu,Terengganu,MY,Malaysia
TGH,Tongoa,Pacific/Efate,,,VU,Vanuatu
TGI,Tingo Maria,America/Lima,Tingo Maria,Huanuco,PE,Peru
TGJ,Tiga,Pacific/Noumea,Tadine,Loyalty Islands,NC,New Caledonia
TGK,Taganrog,Europe/Moscow,Taganrog,Rostov,RU,Russia
TGL,Tagula,Pacific/Port_Moresby,Samarai,Milne Bay,PG,Papua New Guinea
TGM,Transilvania,Europe/Bucharest,Sancraiu de Mures,Mures,RO,Romania
TGN,La Trobe Regional,Australia/Melbourne,Traralgon,Victoria,AU,Australia
TGO,Tongliao Airport,Asia/Shanghai,Tongliao,Inner Mongolia,CN,China
TGP,Podkamennaya Tunguska Airport,Asia/Krasnoyarsk,Podkamennaya Tunguska,Krasnoyarskiy,RU,Russia
TGQ,Tangara da Serra,America/Cuiaba,Nova Olimpia,Mato Grosso,BR,Brazil
TGR,Touggourt Airport,Africa/Algiers,Touggourt,Ouargla,DZ,Algeria
TGS,Chokwe,Africa/Maputo,Chokwe,Gaza,MZ,Mozambique
TGT,Tanga Airport,Africa/Dar_es_Salaam,Tanga,Tanga,TZ,Tanzania
TGU,Toncontin Airport,America/Tegucigalpa,Tegucigalpa,Francisco Morazan,HN,Honduras
TGV,Targovishte,Europe/Sofia,Suedinenie,Plovdiv,BG,Bulgaria
TGZ,Angel Albino Corzo International Airport,America/Mexico_City,Ignacio Allende,Chiapas,MX,Mexico
THA,Tullahoma/William Northern Field,America/Chicago,,,US,United States
THB,Thaba-Tseka,Africa/Maseru,Bergville,KwaZulu-Natal,LS,Lesotho
THC,Tchien,Africa/Monrovia,Zwedru,Grand Gedeh,LR,Liberia
THD,Bai Thuong Airport,Asia/Ho_Chi_Minh,Thi Tran Tho Xuan,Thanh Hoa,VN,Vietnam
THE,Teresina Airport,America/Fortaleza,Teresina,Piaui,BR,Brazil
THG,Thangool,Australia/Brisbane,,,AU,Australia
THH,Taharoa,Pacific/Auckland,Raglan,Waikato,NZ,New Zealand
THI,Tichitt,Africa/Nouakchott,'Ayoun el 'Atrous,Hodh el Gharbi,MR,Mauritania
THK,Thakhek,Asia/Vientiane,Thakhek,Khammouan,LA,Laos
THL,Tachilek Airport,Asia/Rangoon,Mae Sai,Chiang Rai,MM,Myanmar
THM,Thompsonfield,America/Chicago,Mexico,Missouri,US,United States
THN,Trollhattan Airport,Europe/Stockholm,Trollhattan,Vaestra Goetaland,SE,Sweden
THO,Thorshofn,Atlantic/Reykjavik,,,IS,Iceland
THP,Hot Springs,America/Denver,Thermopolis,Wyoming,US,United States
THQ,Maijishan,Asia/Shanghai,Beidao,Gansu Sheng,CN,China
THR,Mehrabad International Airport,Asia/Tehran,Tehran,Tehran,IR,Iran
THS,Sukhothai Airport,Asia/Bangkok,Si Samrong,Sukhothai,TH,Thailand
THT,Tamchakett,Africa/Nouakchott,Kiffa,Assaba,MR,Mauritania
THU,Pituffik Airport,America/Thule,,,GL,Greenland
THV,York Airport,America/New_York,Valley View,Pennsylvania,US,United States
THW,Harbour SPB,Asia/Colombo,,,LK,Sri Lanka
THX,Turukhansk Airport,Asia/Krasnoyarsk,Turukhansk,Krasnoyarskiy,RU,Russia
THY,Thohoyandou,Africa/Johannesburg,Thohoyandou,Limpopo,ZA,South Africa
THZ,Tahoua,Africa/Niamey,Tahoua,Tahoua,NE,Niger
TIA,Tirana International Airport,Europe/Tirane,Preze,Tirane,AL,Albania
TIB,Tibu,America/Bogota,Tibu,Norte de Santander,CO,Colombia
TIC,Tinak Island,Pacific/Majuro,Arno,Arno Atoll,MH,Marshall Islands
TID,Bouchekif Abde Al-hafidh Boussof,Africa/Algiers,Tiaret,Tiaret,DZ,Algeria
TIE,Tippi,Africa/Addis_Ababa,Tippi,"Southern Nations, Nationalities, and People's Region",ET,Ethiopia
TIF,Taif Airport,Asia/Riyadh,Ta'if,Makkah,SA,Saudi Arabia
TIG,Tingwon,Pacific/Port_Moresby,,,PG,Papua New Guinea
TIH,Tikehau Atoll Airport,Pacific/Tahiti,,,PF,French Polynesia
TII,Tirinkot,Asia/Kabul,Tarinkot,Oruzgan,AF,Afghanistan
TIJ,Tijuana Airport,America/Tijuana,Tijuana,Baja California,MX,Mexico
TIK,Tinker AFB,America/Chicago,Midwest City,Oklahoma,US,United States
TIL,Inverlake,America/Edmonton,Bembridge,England,CA,Canada
TIM,Timika Airport,Asia/Jayapura,Mapurujaya,Papua,ID,Indonesia
TIN,Tindouf Airport,Africa/Algiers,Tindouf,Tindouf,DZ,Algeria
TIO,Tilin,Asia/Rangoon,Nay Pyi Taw,Mandalay,MM,Myanmar
TIP,Tripoli International Airport,Africa/Tripoli,Al 'Aziziyah,Sha`biyat al Jafarah,LY,Libya
TIQ,Tinian International,Pacific/Saipan,San Jose Village,Tinian,MP,Northern Mariana Islands
TIR,Tirupati Airport,Asia/Kolkata,Renigunta,Andhra Pradesh,IN,India
TIS,Thursday Island,Australia/Brisbane,,,AU,Australia
TIU,Timaru Airport,Pacific/Auckland,Timaru,Canterbury,NZ,New Zealand
